"Géographie";"Niveau Géo";"Fréquence";"Mesure du recensement ";"Catégorie de logement";"Lien à la personne de référence du ménage ";"Type de ménage et nombre d'enfants";"Profession et catégorie socioprofessionnelle (PCS)";Période;Valeur
"Chilly-Mazarin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;157,767913
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2022;1904,436004
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2022;1644,347318
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;3031,264414
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2022;1062,163243
"Gometz-le-Châtel";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;278,071045
"Ballainvilliers";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2022;695,150433
"Chilly-Mazarin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2022;1516,201638
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2022;1163,955423
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;1852,605401
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;834,217703
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;2857,62219
"Bures-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2022;4057,693597
"Saclay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;1210,498476
"Linas";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;11,081591
"Marcoussis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;370,529517
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2022;3927,859939
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;1692,262123
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2022;3442,0656
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2022;140,951809
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2022;65,441911
"Gometz-le-Châtel";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2022;66,326488
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;5248,20484
"Ballainvilliers";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2022;1820,393939
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;1686,923881
"Villiers-le-Bâcle";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;316,521739
"Chilly-Mazarin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;3140,821806
"Chilly-Mazarin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2022;1624,620168
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;3286,576278
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;86,409889
"Champlan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;281,602984
"Gometz-le-Châtel";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;270,407991
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2022;618,192393
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2022;405,353271
"Saclay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;14,905746
"Saulx-les-Chartreux";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2022;2782,443289
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2022;178,50731
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2022;3207,795639
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;204,38671
"Épinay-sur-Orge";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;1176,174675
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;364,182683
"Saulx-les-Chartreux";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2022;923,877791
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;72,344439
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;4244,388291
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2022;4589,365831
"Gometz-le-Châtel";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;136,023294
"Chilly-Mazarin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;5197,504153
"Villiers-le-Bâcle";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;30,144928
"Bures-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2022;1241,233684
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;1180,014413
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;702,238518
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;109,994301
"Gometz-le-Châtel";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2022;1052,97968
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;606,418025
"Gif-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;728,553663
"Saclay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2022;192,099558
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;39,481517
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;737,000921
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;3231,125025
"Champlan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;272,187914
"Chilly-Mazarin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2022;2404,786667
"Gometz-le-Châtel";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;10,077253
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;9689,12679
"Épinay-sur-Orge";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2022;1244,319123
"Marcoussis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;20,028623
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;7259,843859
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;1332,467831
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2022;30,497608
"Bures-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;2752,204146
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2022;796,606835
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;55,14278
"Épinay-sur-Orge";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;1441,755482
"Champlan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;716,272529
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;1820,591955
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2022;55,912281
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;3070,928007
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2022;1282,248491
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;58,319927
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2022;3135,807884
"Gif-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;2598,5485
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;74,739062
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;395,359286
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;234,781345
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2022;686,409216
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2022;7332,969846
"Champlan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2022;126,37296
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;1673,524732
"Villiers-le-Bâcle";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2022;80,386473
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2022;3917,500738
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2022;144,477779
"Linas";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;930,512705
"Villiers-le-Bâcle";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;140,676329
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;244,318793
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2022;4686,271886
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;102,186654
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2022;280,692709
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;12809,092759
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;1366,74104
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2022;6142,359384
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2022;10014,080551
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2022;1709,421028
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;4750,374634
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;6483,185481
"Linas";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2022;2917,358962
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;442,866145
"Champlan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;14,781617
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2022;16480,195081
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2022;5557,584293
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2022;1888,589437
"Les Ulis";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;1840,265338
"Bures-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;41,566917
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;492,959563
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2022;898,993431
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;41,858123
"Verrières-le-Buisson";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;45,365691
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;835,728349
"Ballainvilliers";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2022;245,05303
"Ballainvilliers";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;180,038961
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Homme seul";"Total";2022;123,838096
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;815,710903
"Champlan";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Femme seule";"Total";2022;145,814954
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;3699,426446
"La Ville-du-Bois";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;75,065421
"Ballainvilliers";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;30,006494
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;253,776011
"Nozay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;153,099051
"Saclay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;223,429899
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;406,346205
"Ballainvilliers";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;1310,28355
"Massy";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;2501,133833
"Villiers-le-Bâcle";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Total";"Total";2022;442,125604
"Saulx-les-Chartreux";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;1882,938793
"Orsay";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;4152,047538
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;268,315875
"Orsay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;3733,759443
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2022;728,297091
"Verrières-le-Buisson";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;97,16649
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2022;893,710387
"Saclay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2022;2574,439547
"Villejust";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2022;406,809627
"Massy";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2022;7,613852
"Igny";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2022;618,192393
"Saulx-les-Chartreux";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2022;1652,489376
"Orsay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2022;7425,614849
"Épinay-sur-Orge";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;1133,057917
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2022;5,32326
"Montlhéry";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2022;730,663187
"Les Ulis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;3905,488862
"Les Ulis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2022;4551,677655
"Les Ulis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;4689,980355
"Massy";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2022;49740,330184
"Villiers-le-Bâcle";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;80,386473
"Ballainvilliers";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2022;1205,260823
"Saint-Aubin";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;115,58603
"Marcoussis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;971,373882
"Igny";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2022;1449,861954
"Gometz-le-Châtel";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2022;95,094129
"Gometz-le-Châtel";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2022;139,330896
"Champlan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2022;2606
"Igny";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2022;585,614085
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2022;153,169763
"Verrières-le-Buisson";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;12415,218161
"Les Ulis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2022;25014,002133
"Wissous";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2022;649,774545
"Villebon-sur-Yvette";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2022;1485,118577
"Villejust";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2022;619,691372
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Artisans, commerçants et chefs d’entreprise";2022;246,687511
"Verrières-le-Buisson";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2022;14364,990052
"La Ville-du-Bois";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2022;8032
"Saint-Aubin";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;584,590111
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2022;1466,764681
"Villiers-le-Bâcle";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;125,603865
"Longjumeau";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2022;1767,414
"Saclay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2022;380,717891
"Épinay-sur-Orge";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2022;899,324624
"Gometz-le-Châtel";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2022;2635
"Champlan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;272,187914
"Longjumeau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2022;3616,333405
"Villejust";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;424,812616
"Les Ulis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;21135,51366
"Saulx-les-Chartreux";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;787,935428
"Villiers-le-Bâcle";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2022;45,217391
"Champlan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;619,397155
"Longjumeau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;3104,790326
"Palaiseau";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2022;5058,235017
"Villebon-sur-Yvette";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2022;4903,208193
"Saulx-les-Chartreux";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2022;476,736497
"Nozay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2022;178,50731
"Villebon-sur-Yvette";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2022;647,496104
"Nozay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;1005,110504
"Saint-Aubin";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2022;73,734982
"Montlhéry";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2022;1689,355364
"Igny";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2022;1150,297651
"Villejust";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage comprenant une famille";"Total";2022;2233,684125
"Villiers-le-Bâcle";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Employés";2022;70,338164
"Longjumeau";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2022;9789,813231
"Chilly-Mazarin";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2022;1624,620168
"Ballainvilliers";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2022;235,050866
"Linas";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2022;439,183148
"Villejust";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2022;123,838096
"Villejust";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2022;5,159921
"Massy";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2022;5002,854904
"Vauhallan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;469,56269
"Nozay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;476,032218
"Gometz-le-Châtel";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2022;610,420461
"Champlan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2022;483,019448
"Bures-sur-Yvette";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Total";"Total";2022;9368,005495
"Champlan";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2022;445,415973
"Gometz-le-Châtel";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale monoparentale";"Total";2022;341,960608
"Épinay-sur-Orge";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple avec enfants";"Total";2022;4775,78914
"Vauhallan";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Professions intermédiaires";2022;109,327434
"Orsay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2022;699,826504
"Saclay";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage sans famille à plusieurs personnes";"Total";2022;39,817703
"Les Ulis";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2022;1577,15525
"Linas";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Ouvriers";2022;300,729671
"Villebon-sur-Yvette";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Ménage à une personne";"Total";2022;1692,262123
"Saint-Aubin";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Famille principale couple sans enfants";"Total";2022;144,688878
"Saint-Aubin";"Commune";"Annuel";"Logements";"Résidences principales";"Personne référence du ménage";"Total";"Cadres et professions intellectuelles supérieures";2022;135,748765
"Gif-sur-Yvette";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Femme seule";"Total";2022;1983,243674
"Igny";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Personne référence du ménage";"Total";"Agriculteurs";2022;18,189556
"Villiers-le-Bâcle";"Commune";"Annuel";"Population des ménages";"Résidences principales";"Total";"Homme seul";"Total";2022;80,386473
