Date;Code région;Région;Code département;Département;Code commune;Commune;Type de données;Catégorie;Sexe;Tranche d'âge;Nombre de demandeurs d'emploi
2015-T4;11;Île-de-France;91;Essonne;91201;Draveil;Brutes;ABC;Total;Total;1860
2015-T4;11;Île-de-France;91;Essonne;91204;Écharcon;Brutes;ABC;Total;Total;45
2015-T4;11;Île-de-France;91;Essonne;91204;Écharcon;Brutes;ABC;Total;50 ans et plus;15
2015-T4;11;Île-de-France;91;Essonne;91207;Égly;Brutes;ABC;Hommes;Total;175
2015-T4;11;Île-de-France;91;Essonne;91215;Épinay-sous-Sénart;Brutes;ABC;Femmes;Total;555
2015-T4;11;Île-de-France;91;Essonne;91216;Épinay-sur-Orge;Brutes;ABC;Total;Moins de 25 ans;75
2015-T4;11;Île-de-France;91;Essonne;91216;Épinay-sur-Orge;Brutes;ABC;Total;50 ans et plus;120
2015-T4;11;Île-de-France;91;Essonne;91223;Étampes;Brutes;ABC;Total;Moins de 25 ans;340
2015-T4;11;Île-de-France;91;Essonne;91223;Étampes;Brutes;ABC;Total;De 25 à 49 ans;1480
2015-T4;11;Île-de-France;91;Essonne;91225;Étiolles;Brutes;ABC;Total;Total;125
2015-T4;11;Île-de-France;91;Essonne;91225;Étiolles;Brutes;ABC;Total;De 25 à 49 ans;80
2015-T4;11;Île-de-France;91;Essonne;91225;Étiolles;Brutes;ABC;Total;50 ans et plus;30
2015-T4;11;Île-de-France;91;Essonne;91228;Évry-Courcouronnes;Brutes;ABC;Femmes;Total;3395
2015-T4;11;Île-de-France;91;Essonne;91228;Évry-Courcouronnes;Brutes;ABC;Total;De 25 à 49 ans;4785
2015-T4;11;Île-de-France;91;Essonne;91228;Évry-Courcouronnes;Brutes;ABC;Total;50 ans et plus;1485
2015-T4;11;Île-de-France;91;Essonne;91235;Fleury-Mérogis;Brutes;ABC;Total;Total;490
2015-T4;11;Île-de-France;91;Essonne;91235;Fleury-Mérogis;Brutes;ABC;Total;De 25 à 49 ans;335
2015-T4;11;Île-de-France;91;Essonne;91235;Fleury-Mérogis;Brutes;ABC;Total;50 ans et plus;65
2015-T4;11;Île-de-France;91;Essonne;91240;Fontaine-la-Rivière;Brutes;ABC;Total;De 25 à 49 ans;5
2015-T4;11;Île-de-France;91;Essonne;91240;Fontaine-la-Rivière;Brutes;ABC;Total;50 ans et plus;5
2015-T4;11;Île-de-France;91;Essonne;91243;Fontenay-lès-Briis;Brutes;ABC;Femmes;Total;35
2015-T4;11;Île-de-France;91;Essonne;91244;Fontenay-le-Vicomte;Brutes;ABC;Total;Total;65
2015-T4;11;Île-de-France;91;Essonne;91244;Fontenay-le-Vicomte;Brutes;ABC;Hommes;Total;35
2015-T4;11;Île-de-France;91;Essonne;91244;Fontenay-le-Vicomte;Brutes;ABC;Femmes;Total;30
2015-T4;11;Île-de-France;91;Essonne;91244;Fontenay-le-Vicomte;Brutes;ABC;Total;Moins de 25 ans;15
