"Géographie";"Niveau Géo";"Âge";"Indicateur de résidence antérieure ";"Mesure du recensement ";"Fréquence";Période;Valeur
"Ballainvilliers";"Commune";"De 25 à 54 ans";"Dans une autre commune";"Population";"Annuel";2022;279
"Ballainvilliers";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;14
"Villiers-le-Bâcle";"Commune";"De 25 à 54 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;8
"Marcoussis";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;30
"Ballainvilliers";"Commune";"55 ans ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;13
"Villiers-le-Bâcle";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;2
"Ballainvilliers";"Commune";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2022;72
"Villiers-le-Bâcle";"Commune";"55 ans ou plus";"Dans une autre commune";"Population";"Annuel";2022;5
"Villiers-le-Bâcle";"Commune";"De 1 à 14 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;2
"Villiers-le-Bâcle";"Commune";"55 ans ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;1
"Marcoussis";"Commune";"De 1 à 14 ans";"Dans une autre commune";"Population";"Annuel";2022;110
"Villiers-le-Bâcle";"Commune";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2022;7
"Villiers-le-Bâcle";"Commune";"De 1 à 14 ans";"Dans une autre commune";"Population";"Annuel";2022;12
"La Ville-du-Bois";"Commune";"55 ans ou plus";"Dans une autre commune";"Population";"Annuel";2022;40
"Marcoussis";"Commune";"De 25 à 54 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;74
"Ballainvilliers";"Commune";"De 25 à 54 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;62
"Villiers-le-Bâcle";"Commune";"De 25 à 54 ans";"Dans une autre commune";"Population";"Annuel";2022;24
"Champlan";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;3,948655
"Saclay";"Commune";"55 ans ou plus";"Dans une autre commune";"Population";"Annuel";2022;26,692471
"Champlan";"Commune";"De 25 à 54 ans";"Dans une autre commune";"Population";"Annuel";2022;74,328715
"Saclay";"Commune";"55 ans ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;19,424261
"Saclay";"Commune";"De 1 à 14 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;20,982634
"Saint-Aubin";"Commune";"De 1 à 14 ans";"Dans une autre commune";"Population";"Annuel";2022;7,158443
"Saint-Aubin";"Commune";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2022;3,929655
"Champlan";"Commune";"De 1 à 14 ans";"Dans une autre commune";"Population";"Annuel";2022;32,272924
"Montlhéry";"Commune";"De 25 à 54 ans";"Dans une autre commune";"Population";"Annuel";2022;612,7669
"Saclay";"Commune";"De 1 à 14 ans";"Dans une autre commune";"Population";"Annuel";2022;40,044553
"Verrières-le-Buisson";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;7,934772
"Montlhéry";"Commune";"55 ans ou plus";"Dans une autre commune";"Population";"Annuel";2022;76,124126
"Montlhéry";"Commune";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2022;164,937277
"Champlan";"Commune";"De 15 à 24 ans";"Dans une autre commune";"Population";"Annuel";2022;16,958851
"Champlan";"Commune";"De 1 à 14 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;6,050711
"Saint-Aubin";"Commune";"De 15 à 24 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;0,99875
