"Fréquence";"Géographie";"Niveau Géo";"Mesure état civil";"Statut de l'observation";Période;Valeur
"Annuel";"Champlan";"Commune";"Nombre de naissances vivantes";"Normale";2015;45
"Annuel";"Saclay";"Commune";"Nombre de naissances vivantes";"Normale";2015;33
"Annuel";"Vauhallan";"Commune";"Nombre de naissances vivantes";"Normale";2015;12
"Annuel";"Marcoussis";"Commune";"Nombre de naissances vivantes";"Normale";2015;77
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de naissances vivantes";"Normale";2015;26
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de naissances vivantes";"Normale";2015;83
"Annuel";"Massy";"Commune";"Nombre de naissances vivantes";"Normale";2015;928
"Annuel";"Ballainvilliers";"Commune";"Nombre de naissances vivantes";"Normale";2015;46
"Annuel";"Saint-Aubin";"Commune";"Nombre de naissances vivantes";"Normale";2015;8
"Annuel";"Orsay";"Commune";"Nombre de naissances vivantes";"Normale";2015;139
"Annuel";"Longjumeau";"Commune";"Nombre de naissances vivantes";"Normale";2015;368
"Annuel";"Linas";"Commune";"Nombre de naissances vivantes";"Normale";2015;110
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de naissances vivantes";"Normale";2015;136
"Annuel";"Wissous";"Commune";"Nombre de naissances vivantes";"Normale";2015;139
"Annuel";"Nozay";"Commune";"Nombre de naissances vivantes";"Normale";2015;47
"Annuel";"Palaiseau";"Commune";"Nombre de naissances vivantes";"Normale";2015;496
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de naissances vivantes";"Normale";2015;4386
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de naissances vivantes";"Normale";2016;73
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2016;121
"Annuel";"Saint-Aubin";"Commune";"Nombre de naissances vivantes";"Normale";2016;4
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de naissances vivantes";"Normale";2016;117
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de naissances vivantes";"Normale";2016;16
"Annuel";"Ballainvilliers";"Commune";"Nombre de naissances vivantes";"Normale";2016;62
"Annuel";"Villejust";"Commune";"Nombre de naissances vivantes";"Normale";2016;26
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de naissances vivantes";"Normale";2016;180
"Annuel";"Linas";"Commune";"Nombre de naissances vivantes";"Normale";2016;91
"Annuel";"Orsay";"Commune";"Nombre de naissances vivantes";"Normale";2016;164
"Annuel";"Igny";"Commune";"Nombre de naissances vivantes";"Normale";2016;114
"Annuel";"Champlan";"Commune";"Nombre de naissances vivantes";"Normale";2016;30
"Annuel";"Vauhallan";"Commune";"Nombre de naissances vivantes";"Normale";2016;10
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de naissances vivantes";"Normale";2016;83
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de naissances vivantes";"Normale";2016;151
"Annuel";"Les Ulis";"Commune";"Nombre de naissances vivantes";"Normale";2016;437
"Annuel";"Montlhéry";"Commune";"Nombre de naissances vivantes";"Normale";2016;120
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de naissances vivantes";"Normale";2016;384
"Annuel";"Palaiseau";"Commune";"Nombre de naissances vivantes";"Normale";2016;509
"Annuel";"Massy";"Commune";"Nombre de naissances vivantes";"Normale";2016;1012
