"Géographie";"Niveau Géo";"Catégorie de logement";"Mesure du recensement ";"Indice de peuplement";"Fréquence";Période;Valeur
"Gif-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;1385,22504
"Orsay";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;1171,15615
"Gif-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;1545,07335
"Wissous";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;567,77462
"Orsay";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;1178,75534
"Wissous";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;523,74308
"Orsay";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;44,3244
"Gif-sur-Yvette";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;1465,69312
"Gif-sur-Yvette";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;57,43471
"Wissous";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;613,93347
"Wissous";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;132,73532
"Wissous";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;677,55991
"Gif-sur-Yvette";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;2972,49955
"Orsay";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;1298,3148
"Orsay";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;1889,18397
"Orsay";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;1008,91668
"Gometz-le-Châtel";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;287,74573
"Massy";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;5720,07067
"Champlan";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;11,67946
"Massy";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;5369,80125
"Gometz-le-Châtel";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;284,70616
"Gometz-le-Châtel";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;133,74097
"Villejust";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;196,43656
"Massy";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;318,05209
"Champlan";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;221,90971
"Villejust";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;212,4722
"Villejust";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;144,32074
"Massy";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;2215,03353
"Gometz-le-Châtel";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;101,31892
"Gometz-le-Châtel";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;202,63784
"Villejust";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;4,00891
"Champlan";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;245,26862
"Champlan";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;214,1234
"Massy";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;3018,74943
"Massy";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;1376,00634
"Villejust";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;84,1871
"Gometz-le-Châtel";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;4,05276
"Champlan";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;206,3371
"Champlan";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;62,29044
"Villejust";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;176,38225
"Montlhéry";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;656,98311
"Montlhéry";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;721,54214
"Montlhéry";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;349,3783
"Igny";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;21,37491
"Igny";"Commune";"Résidences principales";"Logements";"Suroccupation modérée";"Annuel";2011;354,52692
"Montlhéry";"Commune";"Résidences principales";"Logements";"Suroccupation accentuée";"Annuel";2011;45,57108
"Igny";"Commune";"Résidences principales";"Logements";"Sous-occupation très accentuée";"Annuel";2011;1059,89551
"Igny";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;978,03108
"Igny";"Commune";"Résidences principales";"Logements";"Occupation dans la norme";"Annuel";2011;777,70038
"Montlhéry";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;512,67468
"Igny";"Commune";"Résidences principales";"Logements";"Sous-occupation accentuée";"Annuel";2011;994,52768
"Montlhéry";"Commune";"Résidences principales";"Logements";"Sous-occupation modérée";"Annuel";2011;588,62648
