"Fréquence";"Géographie";"Niveau Géo";"Mesure état civil";"Statut de l'observation";Période;Valeur
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de décès";"Normale";2012;11
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de décès";"Normale";2012;92
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de décès";"Normale";2012;130
"Annuel";"Palaiseau";"Commune";"Nombre de décès";"Normale";2012;155
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de décès";"Normale";2012;115
"Annuel";"Ballainvilliers";"Commune";"Nombre de décès";"Normale";2012;36
"Annuel";"Igny";"Commune";"Nombre de décès";"Normale";2012;72
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de décès";"Normale";2012;1681
"Annuel";"Saclay";"Commune";"Nombre de décès";"Normale";2013;20
"Annuel";"Montlhéry";"Commune";"Nombre de décès";"Normale";2013;60
"Annuel";"Saint-Aubin";"Commune";"Nombre de décès";"Normale";2013;4
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de décès";"Normale";2013;39
"Annuel";"Champlan";"Commune";"Nombre de décès";"Normale";2013;24
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de décès";"Normale";2013;13
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de décès";"Normale";2013;49
"Annuel";"Ballainvilliers";"Commune";"Nombre de décès";"Normale";2013;32
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de décès";"Normale";2013;49
"Annuel";"Villejust";"Commune";"Nombre de décès";"Normale";2013;4
"Annuel";"Wissous";"Commune";"Nombre de décès";"Normale";2013;34
"Annuel";"Igny";"Commune";"Nombre de décès";"Normale";2013;57
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de décès";"Normale";2013;83
"Annuel";"Massy";"Commune";"Nombre de décès";"Normale";2013;238
"Annuel";"Les Ulis";"Commune";"Nombre de décès";"Normale";2013;96
"Annuel";"Longjumeau";"Commune";"Nombre de décès";"Normale";2013;125
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de décès";"Normale";2013;27
"Annuel";"Orsay";"Commune";"Nombre de décès";"Normale";2013;94
"Annuel";"Linas";"Commune";"Nombre de décès";"Normale";2013;27
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de décès";"Normale";2013;92
"Annuel";"Nozay";"Commune";"Nombre de décès";"Normale";2013;16
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de décès";"Normale";2013;75
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de décès";"Normale";2013;146
"Annuel";"Palaiseau";"Commune";"Nombre de décès";"Normale";2013;193
"Annuel";"Vauhallan";"Commune";"Nombre de décès";"Normale";2013;13
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de décès";"Normale";2013;3
"Annuel";"Marcoussis";"Commune";"Nombre de décès";"Normale";2013;60
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de décès";"Normale";2013;1673
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de décès";"Normale";2014;100
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de décès";"Normale";2014;21
"Annuel";"Vauhallan";"Commune";"Nombre de décès";"Normale";2014;9
"Annuel";"Orsay";"Commune";"Nombre de décès";"Normale";2014;109
"Annuel";"Nozay";"Commune";"Nombre de décès";"Normale";2014;17
"Annuel";"Igny";"Commune";"Nombre de décès";"Normale";2014;64
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de décès";"Normale";2014;28
"Annuel";"Saint-Aubin";"Commune";"Nombre de décès";"Normale";2014;3
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de décès";"Normale";2014;50
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de décès";"Normale";2014;87
"Annuel";"Longjumeau";"Commune";"Nombre de décès";"Normale";2014;113
"Annuel";"Saclay";"Commune";"Nombre de décès";"Normale";2014;22
"Annuel";"Ballainvilliers";"Commune";"Nombre de décès";"Normale";2014;26
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de décès";"Normale";2014;83
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de décès";"Normale";2014;50
"Annuel";"Linas";"Commune";"Nombre de décès";"Normale";2014;23
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de décès";"Normale";2014;9
"Annuel";"Montlhéry";"Commune";"Nombre de décès";"Normale";2014;56
"Annuel";"Palaiseau";"Commune";"Nombre de décès";"Normale";2014;160
"Annuel";"Villejust";"Commune";"Nombre de décès";"Normale";2014;1
"Annuel";"Massy";"Commune";"Nombre de décès";"Normale";2014;247
"Annuel";"Marcoussis";"Commune";"Nombre de décès";"Normale";2014;70
"Annuel";"Wissous";"Commune";"Nombre de décès";"Normale";2014;38
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de décès";"Normale";2014;136
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de décès";"Normale";2014;3
"Annuel";"Champlan";"Commune";"Nombre de décès";"Normale";2014;14
"Annuel";"Les Ulis";"Commune";"Nombre de décès";"Normale";2014;99
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de décès";"Normale";2014;1638
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de décès";"Normale";2015;55
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de décès";"Normale";2015;56
"Annuel";"Longjumeau";"Commune";"Nombre de décès";"Normale";2015;128
"Annuel";"Wissous";"Commune";"Nombre de décès";"Normale";2015;31
"Annuel";"Saint-Aubin";"Commune";"Nombre de décès";"Normale";2015;3
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de décès";"Normale";2015;112
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de décès";"Normale";2015;118
"Annuel";"Montlhéry";"Commune";"Nombre de décès";"Normale";2015;49
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de décès";"Normale";2015;8
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de décès";"Normale";2015;27
"Annuel";"Les Ulis";"Commune";"Nombre de décès";"Normale";2015;76
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de décès";"Normale";2015;172
"Annuel";"Linas";"Commune";"Nombre de décès";"Normale";2015;32
"Annuel";"Champlan";"Commune";"Nombre de décès";"Normale";2015;15
"Annuel";"Palaiseau";"Commune";"Nombre de décès";"Normale";2015;172
"Annuel";"Villejust";"Commune";"Nombre de décès";"Normale";2015;6
"Annuel";"Ballainvilliers";"Commune";"Nombre de décès";"Normale";2015;25
"Annuel";"Massy";"Commune";"Nombre de décès";"Normale";2015;274
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de décès";"Normale";2015;103
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de décès";"Normale";2015;2
"Annuel";"Nozay";"Commune";"Nombre de décès";"Normale";2015;15
"Annuel";"Saclay";"Commune";"Nombre de décès";"Normale";2015;20
"Annuel";"Vauhallan";"Commune";"Nombre de décès";"Normale";2015;13
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de décès";"Normale";2015;33
"Annuel";"Marcoussis";"Commune";"Nombre de décès";"Normale";2015;67
"Annuel";"Orsay";"Commune";"Nombre de décès";"Normale";2015;77
"Annuel";"Igny";"Commune";"Nombre de décès";"Normale";2015;73
"Annuel";"Communauté d'agglomération Communauté Paris-Saclay";"Etablissement public de coopération intercommunal";"Nombre de décès";"Normale";2015;1762
"Annuel";"Chilly-Mazarin";"Commune";"Nombre de décès";"Normale";2016;92
"Annuel";"Villiers-le-Bâcle";"Commune";"Nombre de décès";"Normale";2016;4
"Annuel";"Wissous";"Commune";"Nombre de décès";"Normale";2016;30
"Annuel";"Palaiseau";"Commune";"Nombre de décès";"Normale";2016;164
"Annuel";"Champlan";"Commune";"Nombre de décès";"Normale";2016;16
"Annuel";"Ballainvilliers";"Commune";"Nombre de décès";"Normale";2016;28
"Annuel";"Orsay";"Commune";"Nombre de décès";"Normale";2016;99
"Annuel";"Nozay";"Commune";"Nombre de décès";"Normale";2016;14
"Annuel";"Montlhéry";"Commune";"Nombre de décès";"Normale";2016;42
"Annuel";"Les Ulis";"Commune";"Nombre de décès";"Normale";2016;111
"Annuel";"Massy";"Commune";"Nombre de décès";"Normale";2016;268
"Annuel";"Villebon-sur-Yvette";"Commune";"Nombre de décès";"Normale";2016;72
"Annuel";"Gometz-le-Châtel";"Commune";"Nombre de décès";"Normale";2016;11
"Annuel";"Verrières-le-Buisson";"Commune";"Nombre de décès";"Normale";2016;171
"Annuel";"Marcoussis";"Commune";"Nombre de décès";"Normale";2016;68
"Annuel";"Longjumeau";"Commune";"Nombre de décès";"Normale";2016;128
"Annuel";"Saint-Aubin";"Commune";"Nombre de décès";"Normale";2016;6
"Annuel";"La Ville-du-Bois";"Commune";"Nombre de décès";"Normale";2016;41
"Annuel";"Vauhallan";"Commune";"Nombre de décès";"Normale";2016;21
"Annuel";"Gif-sur-Yvette";"Commune";"Nombre de décès";"Normale";2016;119
"Annuel";"Villejust";"Commune";"Nombre de décès";"Normale";2016;11
"Annuel";"Linas";"Commune";"Nombre de décès";"Normale";2016;42
"Annuel";"Saulx-les-Chartreux";"Commune";"Nombre de décès";"Normale";2016;30
"Annuel";"Bures-sur-Yvette";"Commune";"Nombre de décès";"Normale";2016;62
"Annuel";"Saclay";"Commune";"Nombre de décès";"Normale";2016;17
"Annuel";"Épinay-sur-Orge";"Commune";"Nombre de décès";"Normale";2016;98
