"Géographie";"Niveau Géo";"Sexe";"Forme d'emploi";"Activité économique des emplois";"Profession et catégorie socioprofessionnelle (PCS)";"Mesure du recensement ";"Fréquence";Période;Valeur
"Saulx-les-Chartreux";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;98,01737
"Verrières-le-Buisson";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;253,24088
"Montlhéry";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;346,73734
"Montlhéry";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;36,57436
"La Ville-du-Bois";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;759,21072
"Igny";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;211,45176
"Orsay";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;3,75221
"La Ville-du-Bois";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;20,44725
"Saulx-les-Chartreux";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;455,01574
"Longjumeau";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;64,68901
"Linas";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;47,18157
"Longjumeau";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;204,29932
"Les Ulis";"Commune";"Femme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;5,08669
"Champlan";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;376,74405
"Épinay-sur-Orge";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;77,50664
"Linas";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;128,80847
"Villiers-le-Bâcle";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;41,49558
"Saint-Aubin";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;22,08371
"Linas";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;48,9778
"Vauhallan";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;8,97613
"Montlhéry";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;22,74426
"Longjumeau";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;261,79353
"Bures-sur-Yvette";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;228,13624
"Saclay";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;390,97979
"Chilly-Mazarin";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;75,48428
"Verrières-le-Buisson";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;266,46953
"Villejust";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;43,44916
"Les Ulis";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;102,28207
"La Ville-du-Bois";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;21,19641
"Vauhallan";"Commune";"Homme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;53,11734
"Épinay-sur-Orge";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;405,98269
"Ballainvilliers";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;10,1101
"Nozay";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;72,31172
"Chilly-Mazarin";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;517,11402
"Champlan";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;100,80799
"Saulx-les-Chartreux";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;45,46004
"Villejust";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;251,04356
"Saclay";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;331,69398
"Ballainvilliers";"Commune";"Homme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;295,19435
"Saint-Aubin";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;68,00209
"Villebon-sur-Yvette";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;87,20372
"Gometz-le-Châtel";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;92,15005
"Ballainvilliers";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;64,38082
"Montlhéry";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;53,10929
"Villejust";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;32,29325
"Ballainvilliers";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;486,89233
"Saulx-les-Chartreux";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;315,90553
"Villiers-le-Bâcle";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;24,14247
"Linas";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;300,73248
"Saulx-les-Chartreux";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;61,98033
"Ballainvilliers";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;71,6251
"Saint-Aubin";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;22,11983
"Bures-sur-Yvette";"Commune";"Femme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;571,24996
"Nozay";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;11,28244
"Villiers-le-Bâcle";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;21,2172
"Gometz-le-Châtel";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;5,02634
"Vauhallan";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;2,76953
"Gif-sur-Yvette";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;15,0984
"Linas";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;14,91123
"Villejust";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;25,846
"Gometz-le-Châtel";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;15,07191
"Vauhallan";"Commune";"Homme";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;7,39731
"Marcoussis";"Commune";"Femme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;0,92026
"Gometz-le-Châtel";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;10,48953
"Massy";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;9,27152
"Saulx-les-Chartreux";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;18,45293
"Épinay-sur-Orge";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;4,24922
"Villebon-sur-Yvette";"Commune";"Femme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;8,02508
"Vauhallan";"Commune";"Femme";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;56,91416
"Vauhallan";"Commune";"Femme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;8,25955
"Vauhallan";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;5,91918
"Saint-Aubin";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;3,56852
"Les Ulis";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;6,40915
"Marcoussis";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;5
"Villiers-le-Bâcle";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;0,52261
"Saint-Aubin";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;5,06171
"Saint-Aubin";"Commune";"Femme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;5,06171
"Saclay";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;16,46856
"Wissous";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;0,97721
"Bures-sur-Yvette";"Commune";"Femme";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;4,99633
"Chilly-Mazarin";"Commune";"Femme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;10,00851
"Villebon-sur-Yvette";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;58,89852
"Gometz-le-Châtel";"Commune";"Homme";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;0,9054
"Orsay";"Commune";"Femme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;2,77953
"Igny";"Commune";"Femme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;1,26945
"Wissous";"Commune";"Femme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;1,04706
"Verrières-le-Buisson";"Commune";"Femme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;4,95777
"Chilly-Mazarin";"Commune";"Homme";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;2,72501
"Montlhéry";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;2591,8594
"Massy";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;13000,22462
"Chilly-Mazarin";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;4326,19466
"Wissous";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;2747,76817
"Igny";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;1028,414
"Saclay";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;1837,82677
"Marcoussis";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;1947,76704
"Orsay";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;5314,82444
"Montlhéry";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;1415,19354
"Massy";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;16962,04929
"Épinay-sur-Orge";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;949,14636
"Les Ulis";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;6905,99045
"Saclay";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;3448,57756
"Gif-sur-Yvette";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;4426,77681
"Wissous";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;5590,3755
"Champlan";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;1403,47402
"Villebon-sur-Yvette";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;3195,85439
"Chilly-Mazarin";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;6104,34518
"Ballainvilliers";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;1203,45486
"Nozay";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;1497,08394
"Les Ulis";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;9417,07569
"Gif-sur-Yvette";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;4879,2303
"Longjumeau";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;4143,76176
"Palaiseau";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;6473,84987
"Saint-Aubin";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;539,97869
"Villiers-le-Bâcle";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;207,25817
"Longjumeau";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;3269,31271
"Villebon-sur-Yvette";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;4348,14962
"Igny";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;955,2982
"Saint-Aubin";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;306,0014
"Palaiseau";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;8390,16507
"Orsay";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;5234,20258
"Linas";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;879,85352
"La Ville-du-Bois";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;1078,94012
"Villejust";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;730,72715
"Champlan";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;723,13736
"Marcoussis";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;1296,86564
"Verrières-le-Buisson";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;1807,79615
"Nozay";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;3220,74496
"Bures-sur-Yvette";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;623,8917
"Vauhallan";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;136,70166
"Vauhallan";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;75,40996
"Gometz-le-Châtel";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;178,13393
"La Ville-du-Bois";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;1053,77828
"Villiers-le-Bâcle";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;161,44228
"Verrières-le-Buisson";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;2023,97005
"Épinay-sur-Orge";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;1400,05512
"Gometz-le-Châtel";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;242,32334
"Linas";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;553,40465
"Bures-sur-Yvette";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;938,78085
"Villejust";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;381,33267
"Saulx-les-Chartreux";"Commune";"Homme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;963,922
"Saulx-les-Chartreux";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;688,89193
"Ballainvilliers";"Commune";"Femme";"Total";"Total";"Total";"Nombre d’emplois";"Annuel";2016;1158,25109
"Saint-Aubin";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;612,87077
"Chilly-Mazarin";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;7612,12519
"Saclay";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;3485,78724
"Marcoussis";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;599,64156
"Wissous";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;5765,20871
"Les Ulis";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;10487,12566
"Montlhéry";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;1792,491
"Wissous";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;844,67248
"Massy";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;17905,90839
"Chilly-Mazarin";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;660,707
"Villebon-sur-Yvette";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;918,73866
"Montlhéry";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;1754,43471
"Épinay-sur-Orge";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;870,98079
"Wissous";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;1082,73893
"Massy";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;5882,44545
"Massy";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;4951,72207
"Orsay";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;4846,40182
"Palaiseau";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;5110,14388
"Gif-sur-Yvette";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;1853,21635
"Gif-sur-Yvette";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;6784,11535
"Palaiseau";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;633,19275
"Palaiseau";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;1500,58959
"Les Ulis";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;2872,50209
"Champlan";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;1140,76087
"Igny";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;219,82554
"Wissous";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;643,49927
"Saclay";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;749,03827
"Villebon-sur-Yvette";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;5012,50502
"Les Ulis";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;2391,60522
"Marcoussis";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;264,57733
"Nozay";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;2318,39274
"Longjumeau";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;3289,51555
"Igny";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;928,75336
"Orsay";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;364,13323
"Saint-Aubin";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;107,21176
"Villiers-le-Bâcle";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;203,80499
"Orsay";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;4991,58878
"Saclay";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;567,41358
"Palaiseau";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;7620,08872
"Orsay";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;340,37145
"Ballainvilliers";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;1212,61128
"Massy";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;1212,92647
"Les Ulis";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;560,33733
"Chilly-Mazarin";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;683,8976
"Villejust";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;724,15116
"Bures-sur-Yvette";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;96,38547
"Champlan";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;345,31339
"Marcoussis";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;1007,22726
"La Ville-du-Bois";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;176,66886
"Marcoussis";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;1367,26626
"Nozay";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;1851,46702
"Montlhéry";"Commune";"Total";"Total";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2016;0,96198
"La Ville-du-Bois";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;1386,95468
"Saclay";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;467,69668
"Épinay-sur-Orge";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;1311,5427
"Gif-sur-Yvette";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;498,86621
"Nozay";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;184,87133
"Linas";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;736,12129
"Verrières-le-Buisson";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;344,54972
"Champlan";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;433,00559
"Igny";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;248,11313
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;413,9229
"Ballainvilliers";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;359,57517
"Verrières-le-Buisson";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;1218,78269
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;355,56727
"Igny";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;585,75072
"Gometz-le-Châtel";"Commune";"Total";"Total";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2016;11,45308
"Verrières-le-Buisson";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;1955,77256
"Chilly-Mazarin";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;1461,07655
"Saulx-les-Chartreux";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;757,43045
"Longjumeau";"Commune";"Total";"Total";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2016;3345,14025
"Ballainvilliers";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;670,59985
"Bures-sur-Yvette";"Commune";"Total";"Total";"Construction";"Total";"Nombre d’emplois";"Annuel";2016;81,32891
"Bures-sur-Yvette";"Commune";"Total";"Total";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2016;799,3862
