"Géographie";"Niveau Géo";"Sexe";"Forme d'emploi";"Activité économique des emplois";"Profession et catégorie socioprofessionnelle (PCS)";"Mesure du recensement ";"Fréquence";Période;Valeur
"Igny";"Commune";"Femme";"Non Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;70,26696
"Vauhallan";"Commune";"Femme";"Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;27,58651
"Longjumeau";"Commune";"Femme";"Salariés";"Construction";"Total";"Nombre d’emplois";"Annuel";2022;28,03247
"Saulx-les-Chartreux";"Commune";"Homme";"Non Salariés";"Agriculture, sylviculture et pêche";"Total";"Nombre d’emplois";"Annuel";2022;5,15754
"Épinay-sur-Orge";"Commune";"Homme";"Non Salariés";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2022;14,80348
"Villejust";"Commune";"Femme";"Non Salariés";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2022;4,99833
"Villiers-le-Bâcle";"Commune";"Homme";"Salariés";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2022;26,1913
"Orsay";"Commune";"Femme";"Non Salariés";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2022;40,29803
"Champlan";"Commune";"Femme";"Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;135,95249
"Chilly-Mazarin";"Commune";"Femme";"Non Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;58,86613
"Bures-sur-Yvette";"Commune";"Homme";"Salariés";"Construction";"Total";"Nombre d’emplois";"Annuel";2022;23,59113
"Verrières-le-Buisson";"Commune";"Femme";"Salariés";"Construction";"Total";"Nombre d’emplois";"Annuel";2022;17,9922
"Gif-sur-Yvette";"Commune";"Homme";"Non Salariés";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2022;25,82566
"Épinay-sur-Orge";"Commune";"Femme";"Non Salariés";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2022;74,55484
"Palaiseau";"Commune";"Femme";"Non Salariés";"Construction";"Total";"Nombre d’emplois";"Annuel";2022;1,37371
"Igny";"Commune";"Homme";"Salariés";"Construction";"Total";"Nombre d’emplois";"Annuel";2022;73,25152
"Saint-Aubin";"Commune";"Femme";"Salariés";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2022;27,59138
"Saulx-les-Chartreux";"Commune";"Femme";"Non Salariés";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2022;4,75453
"Orsay";"Commune";"Homme";"Non Salariés";"Construction";"Total";"Nombre d’emplois";"Annuel";2022;43,77717
"Saulx-les-Chartreux";"Commune";"Femme";"Non Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;24,15092
"Villejust";"Commune";"Femme";"Salariés";"Construction";"Total";"Nombre d’emplois";"Annuel";2022;18,20586
"Épinay-sur-Orge";"Commune";"Femme";"Salariés";"Construction";"Total";"Nombre d’emplois";"Annuel";2022;20,46141
"Champlan";"Commune";"Femme";"Non Salariés";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2022;29,36242
"Gometz-le-Châtel";"Commune";"Homme";"Salariés";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2022;9,17363
"La Ville-du-Bois";"Commune";"Femme";"Non Salariés";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2022;57,6804
"Villebon-sur-Yvette";"Commune";"Homme";"Non Salariés";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2022;12,22538
"Champlan";"Commune";"Femme";"Non Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;26,39737
"Épinay-sur-Orge";"Commune";"Homme";"Non Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;11,99567
"Gometz-le-Châtel";"Commune";"Femme";"Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;71,45097
"Saulx-les-Chartreux";"Commune";"Femme";"Salariés";"Construction";"Total";"Nombre d’emplois";"Annuel";2022;24,94997
"Gometz-le-Châtel";"Commune";"Femme";"Non Salariés";"Administration publique, enseignement, santé humaine et action sociale";"Total";"Nombre d’emplois";"Annuel";2022;28,19409
"Villebon-sur-Yvette";"Commune";"Femme";"Salariés";"Construction";"Total";"Nombre d’emplois";"Annuel";2022;67,2551
"La Ville-du-Bois";"Commune";"Homme";"Non Salariés";"Services principalement marchands";"Total";"Nombre d’emplois";"Annuel";2022;94,15947
"Saint-Aubin";"Commune";"Homme";"Non Salariés";"Industrie manufacturière, industries extractives et autres";"Total";"Nombre d’emplois";"Annuel";2022;6,47473
