"Géographie";"Niveau Géo";"Sexe";"Âge";"Mesure du recensement ";Période;Valeur
"Les Ulis";"Commune";"Total";"De 65 à 79 ans";"Population";2011;1660,200957
"Igny";"Commune";"Total";"Moins de 15 ans";"Population";2011;2216,679048
"Vauhallan";"Commune";"Total";"De 55 à 64 ans";"Population";2011;301,469625
"Massy";"Commune";"Total";"De 65 à 79 ans";"Population";2011;3772,00963
"Gif-sur-Yvette";"Commune";"Total";"De 15 à 24 ans";"Population";2011;3149,576229
"Vauhallan";"Commune";"Total";"De 15 à 24 ans";"Population";2011;210,332983
"Longjumeau";"Commune";"Total";"De 55 à 64 ans";"Population";2011;2282,509813
"Saint-Aubin";"Commune";"Total";"De 55 à 64 ans";"Population";2011;145,164521
"Verrières-le-Buisson";"Commune";"Total";"Moins de 15 ans";"Population";2011;2887,727133
"Massy";"Commune";"Total";"De 15 à 24 ans";"Population";2011;5212,009185
"Orsay";"Commune";"Total";"De 65 à 79 ans";"Population";2011;1964,098225
"Les Ulis";"Commune";"Total";"80 ans ou plus";"Population";2011;370,61361
"Gometz-le-Châtel";"Commune";"Total";"De 25 à 39 ans";"Population";2011;556,227505
"Palaiseau";"Commune";"Total";"De 65 à 79 ans";"Population";2011;3076,513608
"Igny";"Commune";"Total";"De 15 à 24 ans";"Population";2011;1280,327798
"Linas";"Commune";"Total";"De 15 à 24 ans";"Population";2011;878,737071
"Wissous";"Commune";"Total";"De 40 à 54 ans";"Population";2011;1374,743781
"Gometz-le-Châtel";"Commune";"Total";"80 ans ou plus";"Population";2011;52,685838
"Saclay";"Commune";"Total";"De 65 à 79 ans";"Population";2011;286,107735
"Saulx-les-Chartreux";"Commune";"Total";"De 55 à 64 ans";"Population";2011;647,075316
"Gometz-le-Châtel";"Commune";"Total";"De 15 à 24 ans";"Population";2011;294,797964
"Linas";"Commune";"Total";"De 65 à 79 ans";"Population";2011;516,69032
"Verrières-le-Buisson";"Commune";"Total";"De 55 à 64 ans";"Population";2011;2068,409306
"Villejust";"Commune";"Total";"80 ans ou plus";"Population";2011;39,086867
